layers,neurons,activation,epochs,lr,batch_size,mae,mse,r2,accuracy
1,4,linear,25,0.01,256,184.46677615173843,65249.04048117843,-1.060577630996704,0.8111906078283128
1,4,linear,25,0.01,512,184.36310582923926,65016.975170913596,-1.0532488822937012,0.811296718700881
1,4,linear,25,0.001,16,185.0224889428652,65857.18981890738,-1.0797829627990723,0.8106218127503939
1,4,linear,25,0.001,32,185.4510634225955,66037.4531748613,-1.0854759216308594,0.8101831490045082
1,4,linear,25,0.001,64,184.6245741688821,65766.52348755811,-1.0769197940826416,0.8110290950164973
1,4,linear,25,0.001,128,184.84042820340008,65778.60103061622,-1.077301263809204,0.8108081594642783
1,4,linear,25,0.001,256,184.68148430664053,65714.33379788393,-1.0752716064453125,0.8109708451313813
1,4,linear,25,0.001,512,184.49475268274117,65709.13791528309,-1.0751075744628906,0.8111619726891084
1,4,linear,25,0.0001,16,184.64375040016563,65750.18312592828,-1.0764036178588867,0.8110094673488581
1,4,linear,25,0.0001,32,184.72447947556554,65818.64336765847,-1.0785658359527588,0.8109268377936893
1,4,linear,25,0.0001,64,185.2488229499103,65927.78367821003,-1.082012414932251,0.8103901505118625
1,4,linear,25,0.0001,128,185.4515430652917,66097.47701899738,-1.0873713493347168,0.8101826580703257
1,4,linear,25,0.0001,256,185.21083030583694,65872.33973331195,-1.080261468887329,0.810429037557997
1,4,linear,25,0.0001,512,184.71765105763689,65760.5028707891,-1.0767295360565186,0.8109338269625006
1,4,linear,50,0.1,16,115.10910910512004,25987.44683197829,0.17931127548217773,0.8821810551636438
1,4,linear,50,0.1,32,118.97025228548105,27382.808607849147,0.13524550199508667,0.8782290150609201
1,4,linear,50,0.1,64,115.22499717063816,26054.10141113318,0.17720633745193481,0.8820624389246283
1,4,linear,50,0.1,128,116.50619203963406,26546.305883523397,0.16166239976882935,0.8807510828662907
1,4,linear,50,0.1,256,119.08237655328799,27455.345577712185,0.13295471668243408,0.8781142512248844
1,4,linear,50,0.1,512,114.35830734918801,25774.988072344764,0.18602079153060913,0.8829495318841474
1,4,linear,50,0.01,16,182.32494235089342,63122.43860854439,-0.9934190511703491,0.8133828635098328
1,4,linear,50,0.01,32,182.97934477758713,63418.496670544715,-1.0027685165405273,0.8127130554988873
1,4,linear,50,0.01,64,182.86975174706743,63476.39743211581,-1.0045971870422363,0.812825228508631
1,4,linear,50,0.01,128,182.92106598185674,63503.032134000845,-1.0054383277893066,0.8127727062621732
1,4,linear,50,0.01,256,182.71721973192157,63743.1781475224,-1.0130221843719482,0.8129813513491079
1,4,linear,50,0.01,512,182.63977208936757,63487.65813083671,-1.0049529075622559,0.8130606222217323
1,4,linear,50,0.001,16,185.24599419853578,65948.09106827877,-1.082653522491455,0.8103930458561558
1,4,linear,50,0.001,32,184.8371397768082,65751.26471363366,-1.0764379501342773,0.8108115253052117
1,4,linear,50,0.001,64,184.59245701504162,65694.93026885086,-1.0746588706970215,0.8110619682548192
1,4,linear,50,0.001,128,185.24048708266523,65898.35338593068,-1.081083059310913,0.8103986826175381
1,4,linear,50,0.001,256,184.50303838618947,65667.42111642809,-1.0737903118133545,0.8111534919281582
1,4,linear,50,0.001,512,185.11001661060413,65833.34595554919,-1.0790300369262695,0.8105322245541411
1,4,linear,50,0.0001,16,185.32065976704325,65979.48298751212,-1.0836451053619385,0.8103166225516446
1,4,linear,50,0.0001,32,184.73526269391658,65817.2929170234,-1.0785229206085205,0.8109158007227056
1,4,linear,50,0.0001,64,184.47364727920834,65728.95017776606,-1.0757331848144531,0.8111835749445155
1,4,linear,50,0.0001,128,184.8851733790867,65869.99092056807,-1.0801873207092285,0.8107623609221222
1,4,linear,50,0.0001,256,185.1611973375095,65950.08350545261,-1.082716703414917,0.8104798389585368
1,4,linear,50,0.0001,512,185.4467238424768,66089.0400745637,-1.0871050357818604,0.8101875907446501
1,4,linear,100,0.1,16,105.0127767757936,19389.597723911316,0.38767266273498535,0.8925150698303034
1,4,linear,100,0.1,32,104.84913553556447,19380.522102523333,0.3879593014717102,0.8926825634231684
1,4,linear,100,0.1,64,104.95191323880634,19389.367576022294,0.38767993450164795,0.8925773661834121
1,4,linear,100,0.1,128,104.96597853642476,19388.750420725853,0.3876994252204895,0.8925629697682449
1,4,linear,100,0.1,256,105.0495711127414,19391.941665174807,0.3875986933708191,0.8924774093011859
1,4,linear,100,0.1,512,104.94944189415153,19385.006368429113,0.3878176212310791,0.892579895707112
1,4,linear,100,0.01,16,176.81269437712547,56842.814021971564,-0.795107364654541,0.8190248778125635
1,4,linear,100,0.01,32,176.93643383414275,56901.01436919154,-0.796945333480835,0.8188982253488815
1,4,linear,100,0.01,64,176.6451132558329,56638.485624894805,-0.7886545658111572,0.8191964040370185
1,4,linear,100,0.01,128,176.3121314712889,56551.30054004559,-0.7859011888504028,0.8195372246967361
1,4,linear,100,0.01,256,175.7094576288662,56246.95914766758,-0.7762900590896606,0.8201540863573529
1,4,linear,100,0.01,512,176.1915721793855,56631.88457368566,-0.7884460687637329,0.8196606221295952
1,4,linear,100,0.001,16,184.68092158116545,65700.10306898743,-1.074822187423706,0.8109714211042318
1,4,linear,100,0.001,32,184.73180302650582,65671.9920803066,-1.073934555053711,0.8109193418357157
1,4,linear,100,0.001,64,185.0418863958273,65664.73843038433,-1.0737054347991943,0.8106019586531962
1,4,linear,100,0.001,128,184.5707745244823,65650.75122288236,-1.0732636451721191,0.8110841611827203
1,4,linear,100,0.001,256,184.1395689666837,65375.4839128936,-1.064570665359497,0.8115255179460761
1,4,linear,100,0.001,512,185.3732832805334,65967.99760896295,-1.083282470703125,0.8102627602041623
1,4,linear,100,0.0001,16,185.1348543862959,65933.07965569964,-1.0821797847747803,0.8105068020611096
1,4,linear,100,0.0001,32,184.65066283680198,65701.02511776252,-1.0748512744903564,0.8110023921834166
1,4,linear,100,0.0001,64,184.65711100281177,65696.92117728559,-1.0747218132019043,0.810995792218207
1,4,linear,100,0.0001,128,185.25998993468514,66025.13452794541,-1.0850868225097656,0.8103787206400357
1,4,linear,100,0.0001,256,184.45875961322366,65737.9263006844,-1.0760166645050049,0.8111988130877956
1,4,linear,100,0.0001,512,184.98095986362486,65864.02993051379,-1.0799989700317383,0.8106643194845191
1,4,linear,250,0.1,16,104.80742774308757,19382.319264680227,0.38790249824523926,0.8927252530776995
1,4,linear,250,0.1,32,104.80732073889503,19382.216469057832,0.3879057765007019,0.8927253626009263
1,4,linear,250,0.1,64,104.80732174833295,19382.240656963422,0.3879050016403198,0.8927253615677248
1,4,linear,250,0.1,128,104.80793774642385,19382.61783956239,0.3878931403160095,0.8927247310681434
1,4,linear,250,0.1,256,104.80768537754568,19382.398335391917,0.38790005445480347,0.8927249893781518
1,4,linear,250,0.1,512,104.8079792020373,19382.700970170317,0.38789045810699463,0.8927246886366046
1,4,linear,250,0.01,16,150.09227033434448,39039.32922525568,-0.23286974430084229,0.8463743394735471
1,4,linear,250,0.01,32,148.8968995258435,38591.40719234176,-0.21872425079345703,0.8475978510482667
1,4,linear,250,0.01,64,149.38453643008535,38768.15243483706,-0.2243058681488037,0.8470987344625533
1,4,linear,250,0.01,128,148.69058097818368,38597.909393824964,-0.21892964839935303,0.8478090266344077
1,4,linear,250,0.01,256,149.79229623662314,38943.433221359315,-0.22984135150909424,0.8466813753975198
1,4,linear,250,0.01,512,149.37711078538993,38823.806447344745,-0.22606348991394043,0.8471063349177176
1,4,linear,250,0.001,16,184.43180083388074,65064.58307213779,-1.0547523498535156,0.811226406515987
1,4,linear,250,0.001,32,183.77619024194667,64834.27396312032,-1.0474791526794434,0.8118974511341386
1,4,linear,250,0.001,64,184.12870011991802,64912.41992317816,-1.0499472618103027,0.8115366426612917
1,4,linear,250,0.001,128,184.65383285255106,65084.579877814154,-1.0553839206695557,0.8109991475408894
1,4,linear,250,0.001,256,183.8986170017541,64766.972468759646,-1.045353651046753,0.8117721422704667
1,4,linear,250,0.001,512,183.54018920074432,64640.75203181462,-1.041367769241333,0.8121390079828614
1,4,linear,250,0.0001,16,184.7236253041538,65759.36888093615,-1.0766937732696533,0.8109277120735375
1,4,linear,250,0.0001,32,184.28548873204767,65600.6928336633,-1.0716826915740967,0.8113761630173514
1,4,linear,250,0.0001,64,184.8930646945158,65816.21085545789,-1.078489065170288,0.8107542838336583
1,4,linear,250,0.0001,128,185.23320734086772,65912.57068689275,-1.0815320014953613,0.8104061337350381
1,4,linear,250,0.0001,256,184.43258266186962,65647.87215632231,-1.0731728076934814,0.8112256062826309
1,4,linear,250,0.0001,512,184.7734520324132,65826.92641756951,-1.0788273811340332,0.8108767123516754
1,4,sigmoid,1,0.1,16,184.8540094077064,65808.13566217863,-1.0782339572906494,0.8107942585386834
1,4,sigmoid,1,0.1,32,184.27222263286163,65587.7946179713,-1.0712757110595703,0.8113897414197936
1,4,sigmoid,1,0.1,64,184.14037619574023,65538.74495241634,-1.0697264671325684,0.8115246917136743
1,4,sigmoid,1,0.1,128,185.00025555485874,65860.30673743694,-1.0798814296722412,0.8106445695446687
1,4,sigmoid,1,0.1,256,185.1651195948011,65932.08191784326,-1.0821483135223389,0.8104758243656078
1,4,sigmoid,1,0.1,512,184.96828115242346,65861.9049630951,-1.0799317359924316,0.8106772966710097
1,4,sigmoid,1,0.01,16,185.2243588881522,65970.69933088838,-1.0833675861358643,0.8104151904931912
1,4,sigmoid,1,0.01,32,185.05128939108124,65911.92806946911,-1.0815117359161377,0.8105923342977674
1,4,sigmoid,1,0.01,64,185.08905346039575,65921.98855735594,-1.081829309463501,0.8105536812073739
1,4,sigmoid,1,0.01,128,185.4141609133859,66033.60536365675,-1.0853543281555176,0.8102209202524198
1,4,sigmoid,1,0.01,256,185.28357007397796,65996.64352864728,-1.0841870307922363,0.8103545853899918
1,4,sigmoid,1,0.01,512,185.24377664648452,65976.23717300237,-1.0835425853729248,0.8103953156126054
1,4,sigmoid,1,0.001,16,185.42831084184493,66052.45532604509,-1.0859496593475342,0.8102064372140789
1,4,sigmoid,1,0.001,32,185.29419716923005,66000.35927387563,-1.0843043327331543,0.8103437081174718
1,4,sigmoid,1,0.001,64,184.9469438647472,65875.22668317592,-1.080352783203125,0.8106991362694501
1,4,sigmoid,1,0.001,128,185.3282207788383,66012.63154511698,-1.0846920013427734,0.8103088835426424
1,4,sigmoid,1,0.001,256,184.79789981062515,65821.26371648259,-1.078648567199707,0.8108516890372311
1,4,sigmoid,1,0.001,512,184.82057237969357,65833.55067655741,-1.0790364742279053,0.810828482722934
1,4,sigmoid,1,0.0001,16,184.73389249091798,65801.16545646252,-1.0780136585235596,0.8109172031822743
1,4,sigmoid,1,0.0001,32,184.82772678000663,65822.34002861533,-1.0786824226379395,0.810821159897639
1,4,sigmoid,1,0.0001,64,184.23436107756558,65601.47905261205,-1.0717077255249023,0.8114284942911304
1,4,sigmoid,1,0.0001,128,185.41422378034326,66049.1646950866,-1.0858454704284668,0.8102208559054829
1,4,sigmoid,1,0.0001,256,184.6702314713419,65785.64041741057,-1.0775234699249268,0.810982362874778
1,4,sigmoid,1,0.0001,512,185.38392500125806,66024.83132116104,-1.0850770473480225,0.8102518679618649
1,4,sigmoid,10,0.1,16,181.93122136339082,64530.00996466304,-1.0378704071044922,0.8137858532616266
1,4,sigmoid,10,0.1,32,182.41938888766,64869.12322819886,-1.0485799312591553,0.8132861935643193
1,4,sigmoid,10,0.1,64,181.6017363116368,64283.26850694571,-1.030078411102295,0.8141230948703819
1,4,sigmoid,10,0.1,128,181.17691456311317,64121.61256429042,-1.0249731540679932,0.814557917540314
1,4,sigmoid,10,0.1,256,181.72727011142447,64453.82849706066,-1.0354645252227783,0.8139946058224928
1,4,sigmoid,10,0.1,512,181.73583464945213,64366.94438760075,-1.0327208042144775,0.8139858396627921
1,4,sigmoid,10,0.01,16,184.88478166741555,65827.10047798236,-1.0788328647613525,0.8107627618552553
1,4,sigmoid,10,0.01,32,184.6025323539552,65723.71385737888,-1.0755677223205566,0.8110516557277838
1,4,sigmoid,10,0.01,64,185.21559931080836,65958.33333542604,-1.082977294921875,0.8104241562837171
1,4,sigmoid,10,0.01,128,185.03346730352425,65873.99454998533,-1.0803139209747314,0.8106105759431687
1,4,sigmoid,10,0.01,256,183.7983245918371,65405.63108294624,-1.0655229091644287,0.811874795709481
1,4,sigmoid,10,0.01,512,184.7542798004753,65768.00436071426,-1.0769665241241455,0.8108963359258186
1,4,sigmoid,10,0.001,16,185.52351180030197,66083.64504017471,-1.0869345664978027,0.810108995086692
1,4,sigmoid,10,0.001,32,184.9321995085219,65862.70350011594,-1.0799572467803955,0.8107142277292508
1,4,sigmoid,10,0.001,64,184.52884632953462,65717.7989371036,-1.0753810405731201,0.8111270764283167
1,4,sigmoid,10,0.001,128,184.7293664453802,65787.74720284074,-1.077589988708496,0.8109218357775023
1,4,sigmoid,10,0.001,256,185.21809911799068,65969.41859783811,-1.083327293395996,0.8104215976274405
1,4,sigmoid,10,0.001,512,184.80838710417964,65818.02769642921,-1.0785462856292725,0.8108409548575439
1,4,sigmoid,10,0.0001,16,184.68433837972847,65765.22856206258,-1.0768790245056152,0.8109679238692646
1,4,sigmoid,10,0.0001,32,184.9581396883778,65876.12355723578,-1.080380916595459,0.810687676879859
1,4,sigmoid,10,0.0001,64,184.555445407439,65728.72066474767,-1.075725793838501,0.8110998511694585
1,4,sigmoid,10,0.0001,128,185.1218272778361,65938.89754547346,-1.0823633670806885,0.8105201358466365
