hidden_layers,activation,epochs,learning_rate,batch_size,accuracy
[4],sigmoid,10,1.0,64,0.8721951219512195
[4],sigmoid,10,1.0,128,0.8829268292682927
[4],sigmoid,10,1.0,256,0.8829268292682927
[4],sigmoid,10,1.0,512,0.8565853658536585
[4],sigmoid,10,0.1,16,0.9160975609756098
[4],sigmoid,10,0.1,32,0.92
[4],sigmoid,10,0.1,64,0.8741463414634146
[4],sigmoid,10,0.1,128,0.8731707317073171
[4],sigmoid,10,0.1,256,0.8673170731707317
[4],sigmoid,10,0.1,512,0.84
[4],sigmoid,10,0.01,16,0.8624390243902439
[4],sigmoid,10,0.01,32,0.8575609756097561
[4],sigmoid,10,0.01,64,0.855609756097561
[4],sigmoid,10,0.01,128,0.8292682926829268
[4],sigmoid,10,0.01,256,0.7746341463414634
[4],sigmoid,10,0.01,512,0.817560975609756
[4],sigmoid,10,0.001,16,0.8351219512195122
[4],sigmoid,10,0.001,32,0.8078048780487805
[4],sigmoid,10,0.001,64,0.5131707317073171
[4],sigmoid,10,0.001,128,0.4868292682926829
[4],sigmoid,10,0.001,256,0.5131707317073171
[4],sigmoid,10,0.001,512,0.4868292682926829
[4],sigmoid,10,0.0001,16,0.5014634146341463
[4],sigmoid,10,0.0001,32,0.4868292682926829
[4],sigmoid,10,0.0001,64,0.6048780487804878
[4],sigmoid,10,0.0001,128,0.5131707317073171
[4],sigmoid,10,0.0001,256,0.5131707317073171
[4],sigmoid,10,0.0001,512,0.46634146341463417
[4],sigmoid,25,10.0,16,0.5131707317073171
[4],sigmoid,25,10.0,32,0.5131707317073171
[4],sigmoid,25,10.0,64,0.7775609756097561
[4],sigmoid,25,10.0,128,0.7639024390243903
[4],sigmoid,25,10.0,256,0.7970731707317074
[4],sigmoid,25,10.0,512,0.5131707317073171
[4],sigmoid,25,1.0,16,0.4868292682926829
[4],sigmoid,25,1.0,32,0.8575609756097561
[4],sigmoid,25,1.0,64,0.8751219512195122
[4],sigmoid,25,1.0,128,0.8448780487804878
[4],sigmoid,25,1.0,256,0.8839024390243903
[4],sigmoid,25,1.0,512,0.7970731707317074
[4],sigmoid,25,0.1,16,0.9063414634146342
[4],sigmoid,25,0.1,32,0.937560975609756
[4],sigmoid,25,0.1,64,0.9365853658536586
[4],sigmoid,25,0.1,128,0.871219512195122
[4],sigmoid,25,0.1,256,0.8819512195121951
[4],sigmoid,25,0.1,512,0.8341463414634146
[4],sigmoid,25,0.01,16,0.8926829268292683
[4],sigmoid,25,0.01,32,0.8790243902439024
[4],sigmoid,25,0.01,64,0.8741463414634146
[4],sigmoid,25,0.01,128,0.8536585365853658
[4],sigmoid,25,0.01,256,0.8507317073170731
[4],sigmoid,25,0.01,512,0.8146341463414634
[4],sigmoid,25,0.001,16,0.8575609756097561
[4],sigmoid,25,0.001,32,0.8565853658536585
[4],sigmoid,25,0.001,64,0.8312195121951219
[4],sigmoid,25,0.001,128,0.7863414634146342
[4],sigmoid,25,0.001,256,0.7639024390243903
[4],sigmoid,25,0.001,512,0.5102439024390244
[4],sigmoid,25,0.0001,16,0.49560975609756097
[4],sigmoid,25,0.0001,32,0.7112195121951219
[4],sigmoid,25,0.0001,64,0.5131707317073171
[4],sigmoid,25,0.0001,128,0.5375609756097561
[4],sigmoid,25,0.0001,256,0.3746341463414634
[4],sigmoid,25,0.0001,512,0.4868292682926829
[4],sigmoid,50,10.0,16,0.5131707317073171
[4],sigmoid,50,10.0,32,0.5131707317073171
[4],sigmoid,50,10.0,64,0.7482926829268293
[4],sigmoid,50,10.0,128,0.6926829268292682
[4],sigmoid,50,10.0,256,0.6614634146341464
[4],sigmoid,50,10.0,512,0.5131707317073171
[4],sigmoid,50,1.0,16,0.8673170731707317
[4],sigmoid,50,1.0,32,0.8751219512195122
[4],sigmoid,50,1.0,64,0.8878048780487805
[4],sigmoid,50,1.0,128,0.8604878048780488
[4],sigmoid,50,1.0,256,0.8468292682926829
[4],sigmoid,50,1.0,512,0.8321951219512195
[4],sigmoid,50,0.1,16,0.935609756097561
[4],sigmoid,50,0.1,32,0.935609756097561
[4],sigmoid,50,0.1,64,0.9248780487804878
[4],sigmoid,50,0.1,128,0.9239024390243903
[4],sigmoid,50,0.1,256,0.8780487804878049
[4],sigmoid,50,0.1,512,0.8234146341463414
[4],sigmoid,50,0.01,16,0.9151219512195122
[4],sigmoid,50,0.01,32,0.92
[4],sigmoid,50,0.01,64,0.88
[4],sigmoid,50,0.01,128,0.8585365853658536
[4],sigmoid,50,0.01,256,0.8536585365853658
[4],sigmoid,50,0.01,512,0.8478048780487805
[4],sigmoid,50,0.001,16,0.8546341463414634
[4],sigmoid,50,0.001,32,0.8546341463414634
[4],sigmoid,50,0.001,64,0.8351219512195122
[4],sigmoid,50,0.001,128,0.8292682926829268
[4],sigmoid,50,0.001,256,0.775609756097561
[4],sigmoid,50,0.001,512,0.7073170731707317
[4],sigmoid,50,0.0001,16,0.7960975609756098
[4],sigmoid,50,0.0001,32,0.7053658536585365
[4],sigmoid,50,0.0001,64,0.6380487804878049
[4],sigmoid,50,0.0001,128,0.5131707317073171
[4],sigmoid,50,0.0001,256,0.4868292682926829
[4],sigmoid,50,0.0001,512,0.5131707317073171
[4],sigmoid,100,10.0,16,0.7258536585365853
[4],sigmoid,100,10.0,32,0.5131707317073171
[4],sigmoid,100,10.0,64,0.5131707317073171
[4],sigmoid,100,10.0,128,0.7209756097560975
[4],sigmoid,100,10.0,256,0.5131707317073171
[4],sigmoid,100,10.0,512,0.6878048780487804
[4],sigmoid,100,1.0,16,0.88
[4],sigmoid,100,1.0,32,0.8917073170731707
[4],sigmoid,100,1.0,64,0.8946341463414634
[4],sigmoid,100,1.0,128,0.8087804878048781
[4],sigmoid,100,1.0,256,0.8517073170731707
[4],sigmoid,100,1.0,512,0.8351219512195122
[4],sigmoid,100,0.1,16,0.9219512195121952
[4],sigmoid,100,0.1,32,0.937560975609756
[4],sigmoid,100,0.1,64,0.9336585365853659
[4],sigmoid,100,0.1,128,0.9160975609756098
